source,source_url,retrieved_at,keep_numeric_id,project_id,project_acronym,project_name,programme,programming_period,status,start_date,end_date,lead_partner_name,lead_partner_country,partner_count,themes,project_summary_excerpt,outputs_excerpt
keep.eu,https://keep.eu/projects/30101/,2026-06-01T04:42:57.066Z,30101,Euro-MED0200414,E-MED,Increasing capacities of PTO and PTA in the EURO MED area by testing novel solutions to effectively manage public transport’s transition towards energy-efficiency and resource-efficiency,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Universitat Politècnica de Catalunya-Barcelona TECH,Spain,10,Transport and mobility | Energy efficiency | Knowledge and technology transfer,"E-MED tests and validates solutions to increase energy-efficiency and resource-efficiency of public transport systems to reduce public transport's environmental footprint drastically, and to react flexibly to changing energy prices caused by the current energy crisis. This chall...","Toolkit for planning an energy-efficient public transport network (EN)

Toolkit for planning an energy-efficient public transport network (FR)

Toolkit to analyse energy consumption, safe driving and underperformance in..."
keep.eu,https://keep.eu/projects/29256/,2026-06-01T04:42:57.066Z,29256,Euro-MED0200310,Bauhaus4MED,Testing New European Bauhaus Solutions for Deep Green Transformation of Cities and Regions in Euro-MED area.,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,E-zavod,Slovenia,11,Green technologies | Urban development | Knowledge and technology transfer,"Average citizen usually considers ecology and green transformation as something that “must be” done, instead of something they would “love to” do. To change this perception, the New European Bauhaus (NEB) initiative introduced aesthetic (beautiful) aspects along with citizens pa...","MED BAUHAUS GREEN TRANSFORMATION TOOLBOX OF PARTICIPATORY METHODS(EN)

Organisations cooperating across borders(EN)

Regional Green transformation strategies and action plans(EN) || - CROWDVOCACY online tool - digital p..."
keep.eu,https://keep.eu/projects/29255/,2026-06-01T04:42:57.066Z,29255,Euro-MED0200798,MED-Routes,Enhancing MED sustainable cultural tourism through the creation of eco-itineraries inside European Cultural Routes,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,Unione della Romagna Faentina,Italy,9,Institutional cooperation and cooperation networks | Cultural heritage and arts | Tourism,"Cultural Tourism is a key asset in MED economies, however it has a strong, mutually detrimental relationship with climate change when tourism industries do not effectively incorporate sustainable practices. The MED area therefore needs to strategically re-shape its cultural tour...","MED-Routes consortium of 8 Partners + 4 Associated Partners(EN)

MED-Routes consortium of 8 Partners + 4 Associated Partners(FR)

Transnational Strategy for sustainable tourism and eco-itineraries in the MED area(FR)

T..."
keep.eu,https://keep.eu/projects/29254/,2026-06-01T04:42:57.066Z,29254,Euro-MED0200626,Clepsydra,Clepsydra - Groundwater monitoring and Decision Support System development to optimise decision-making in sensitive and water-scarce agricultural environments in the Mediterranean context,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Consejo Superior de Investigaciones Cientificas - Instituto Geologico y Minero de España,Spain,9,Water management | Institutional cooperation and cooperation networks | Waste and pollution,"A clepsydra is a water clock, where water measures the time and, in this project it is the water which will be ""measured"" in time. In fact, there is a need to improve conventional aquifers monitoring networks which mainly control aquifer saturated zone, having a limited value fo...","Organisations cooperating across border(EN)

Organisations cooperating across border(FR)

DSS based on artificial intelligent to support decision making

(FR)

DSS based on artificial intelligent to support decision mak..."
keep.eu,https://keep.eu/projects/29253/,2026-06-01T04:42:57.066Z,29253,Euro-MED0200456,CARBON 4 SOIL QUALITY,Capturing and Storing Atmospheric CO2 for Improvement of Soil Quality,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,Kmetijski inštitut Slovenije,Slovenia,10,Waste and pollution | Climate change and biodiversity | Knowledge and technology transfer,"Two of the biggest challenges of human civilization are how to reduce CO2 in the atmosphere and how to preserve the soil quality. Too much carbon in the air causes greenhouse effect, and too little carbon in the soil reduces soil quality.

Proposed project will prepare scientifi...","N/A(FR)

Toolbox for carbon farming(EN)

N/A(FR)

Organisations cooperating across borders(EN)

N/A(FR)

Action plan for testing carbon farming(EN) || - Methodology for organic carbon analysis and soil quality monitorin..."
keep.eu,https://keep.eu/projects/29252/,2026-06-01T04:42:57.066Z,29252,Euro-MED0200727,BLUE ECOSYSTEM,Transformative co-creation innovation labs for the Blue Sustainable Economy,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Regione Emilia-Romagna,Italy,11,"Green technologies | Governance, partnership | Knowledge and technology transfer","BLUE ECOSYSTEM will test innovative methodologies focused on supporting territory-making processes through knowledge production in the blue sustainable economy, building on existing experiences achieved thanks to previous MED projects ( MISTRAL, Blue BIo MED and B-BLUE). The str...","Mutual learning implemented at Transnational evel in BLUE-ECO MATCH(FR)

Project Partnership(EN)

Transnational and Blue economy cross-cutting roadmap for a wide adoption of TRAIN lab methodology with the 5-helix stakeh..."
keep.eu,https://keep.eu/projects/29251/,2026-06-01T04:42:57.066Z,29251,Euro-MED0200589,REPper,REPair PERspective,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Città Metropolitana di Bologna,Italy,10,Green technologies | SME and entrepreneurship | Knowledge and technology transfer,"Why not? Re-thinking traditional business models, re-discovering the centrality of human value in the pursuit of innovation and competitiveness, re-viewing behaviors, all toward a circular economy model, is more urgent than ever.
Why not? To support SMEs in the repair economy, i...","REPper Hubs Joint Canvas(EN)

REPper Hubs Joint Canvas(FR)

Roadmap to boost repair economy through REPper Hubs(EN)

Roadmap to boost repair economy through REPper Hubs(FR)

REPper Cooperating network(EN)

REPper Cooper..."
keep.eu,https://keep.eu/projects/29250/,2026-06-01T04:42:57.066Z,29250,Euro-MED0200864,WE GO COOP,improving WEtland GOvernance through a COmmunity Of Practice,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,"Αναπτυξιακός Οργανισμός Τοπικής Αυτοδιοίκησης, Ανατολικη Α.Ε",Greece,7,Sustainable management of natural resources | Climate change and biodiversity | Knowledge and technology transfer,"Mediterranean Wetlands are extremely vulnerable ecosystems, often under environmental protection. The Ramsar Convention defines them as one of the most productive and biodiverse environments in the world, providing the habitat on which countless species depend. They are highly s...","n/a(FR)

Mediterranean Community of Practice on Wetland Contracts(EN)

n/a(FR)

Network of researcher, experts and public officers involved in Mediterranean Community of Practice on Wetland Contracts(EN)

n/a(FR)

Strat..."
keep.eu,https://keep.eu/projects/29249/,2026-06-01T04:42:57.066Z,29249,Euro-MED0200663,MAST,MAking Sustainable Tourism possible,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,"Università degli Studi di Urbino ""Carlo Bo""",Italy,5,Tourism | Knowledge and technology transfer,The common challenges addressed by the project are: (i) overcoming differences and uniting Mediterranean SMEs accommodation around the common objective of reshaping tourism in more sustainable ways; (ii) stimulating and supporting them in the implementation of sustainable manage...,"Protocol for enhancing the transition towards sustainable management systems by SMEs accommodation(FR)

Protocol for enhancing the transition towards sustainable management systems by SMEs accommodation(EN)

AI based se..."
keep.eu,https://keep.eu/projects/29248/,2026-06-01T04:42:57.066Z,29248,Euro-MED0200900,TOURISMO,TOURism Innovative and Sustainable Management of flOws,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Αναπτυξιακή Εταιρεία Περιφέρειας Νοτίου Αιγαίου – ΕΝΕΡΓΕΙΑΚΗ Α.Ε.,Greece,13,Tourism | Climate change and biodiversity | Knowledge and technology transfer,"The tourism industry, in the pre-pandemic years, focused almost exclusively on growth, with little concern for long-term impacts on territories. Thus, persistent challenges, like overtourism, continue to affect destinations & communities across the Med region.
TOURISMO acknowled...","Toolkit for informed decisions and actions for the management of tourism flows in destinations(FR)

Toolkit for informed decisions and actions for the management of tourism flows in destinations(EN)

Cooperating at loca..."
keep.eu,https://keep.eu/projects/29247/,2026-06-01T04:42:57.066Z,29247,Euro-MED0200165,CircleMED,Testing Circular Economy solutions for the green transition of the Mediterranean area,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Università di Torino,Italy,7,Green technologies | SME and entrepreneurship | Climate change and biodiversity,"CircleMED aims to convert the Euro-Med area into circular economy based territories, accelerating the diffusion of circular and climate-neutral practices and the green transition of the local civil, industrial and institutional systems. It points at reconciling our economies and...","n/a(FR)

Guidelines for local public support and citizens’ participation(EN)

n/a(FR)

Circular assessment tool for enterprises(EN)

n/a(FR)

Network of Hubs(EN) || - Report on behavioural barriers for consumers and cit..."
keep.eu,https://keep.eu/projects/29246/,2026-06-01T04:42:57.066Z,29246,Euro-MED0200388,HERIT ADAPT,"HERItage and territory resilience through sustainable Tourism, climate change ADAPtation and ciTizen engagement",2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,Greece,13,Cultural heritage and arts | Tourism | Knowledge and technology transfer,"Tourism represents an important industry for Euro-MED with Heritage tourism being a significant element of the overall tourist product. Yet, human activity and climate change pose risks to both cultural heritage (CH) and natural heritage (NH) assets in rural and urban environmen...","Feasibility study for the establishment of the HERIT ADAPT data-driven technology-enabled Sustainable Tourism Model(FR)

Feasibility study for the establishment of the HERIT ADAPT data-driven technology-enabled Sustaina..."
keep.eu,https://keep.eu/projects/29245/,2026-06-01T04:42:57.066Z,29245,Euro-MED0200434,MedSeaRise,Supporting Adaptation to Mediterranean Sea Level Rise,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,"Αναπτυξιακός Οργανισμός Τοπικής Αυτοδιοίκησης, Ανατολικη Α.Ε",Greece,6,"Coastal management and maritime issues | Governance, partnership | Climate change and biodiversity","Climate change is evident in many aspects, among them there is the progressive increase of the average sea level, which is affecting the rare extremes too, both on their frequency and intensity.

The assessment of risks deriving from sea level variations requires a robust quanti...","Number of cooperating organizations(FR)

Number of cooperating organizations(EN)

Methodology for an effective use of sea level rise scenarios in climate change impact risks assessment(FR)

Methodology for an effective..."
keep.eu,https://keep.eu/projects/29244/,2026-06-01T04:42:57.066Z,29244,Euro-MED0200735,NaTour4CChange,Governing sustainable tourism in territories with high environmental value: reconnecting tourism and nature for addressing the climate crisis with an ecosystem-based approach,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,INSTITUT ZA TURIZAM,Croatia,11,Tourism | Climate change and biodiversity | Knowledge and technology transfer,"The Mediterranean is a vulnerable hotspot in the current Climate Emergency. Tourism is and will be one of the most impacted economic sectors, with heightened risks, including flooding and erosion of key coastal assets. The recent Transition Pathway for Tourism and the Glasgow De...","Capitalization Report that describes the whole approach for planning CC resilience in the tourism sector, including lessons learnt and policy recommendations(EN)

n.a.(FR)

n.a.(FR)

10 Project Partners and 5 Associated..."
keep.eu,https://keep.eu/projects/29243/,2026-06-01T04:42:57.066Z,29243,Euro-MED0200723,EnerCmed,Testing energy-community & climate-resilient integrated paradigm for carbon neutrality and energy poverty shielding in MED city-port hinterlands,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Università degli Studi di Genova,Italy,9,Renewable energy | Climate change and biodiversity | Knowledge and technology transfer,"EnerCmed proposes of a new paradigm for energy-positive & climate resilient hinterlands that is centred on the concept of Renewable Energy Communities (REC) and that has the ambition to enable the energy regeneration of marginalized neighborhood in port hinterlands, normally inh...","Transnational Knowledge Facility Instrument proposing horizontal services (methodologies) and vertical services (codesign of the 4 lighthouse REC projects) (EN)

Collaborative model applied by pilot partners and technic..."
keep.eu,https://keep.eu/projects/29242/,2026-06-01T04:42:57.066Z,29242,Euro-MED0200343,VERDEinMED,PreVEnting and ReDucing the tExtiles waste mountain in the MED area,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Εθνικό Κέντρο Έρευνας Και Τεχνολογικής Ανάπτυξης (Πτολεμαΐδα),Greece,10,Green technologies | Clustering and economic cooperation | Climate change and biodiversity,"While the challenges and opportunities of used textiles are increasingly in the spotlight of governments, industry, and civil society, considerable system changes are required to transition towards a circular economy for textiles and clothing (T/C). Local, regional, national gov...","Knowledge Platform(FR)

Knowledge Platform(EN)

Establishment of Support Service(EN)

Establishment of Support Service(FR)

VERDEinMED international collaboration network(EN)

VERDEinMED international collaboration netw..."
keep.eu,https://keep.eu/projects/29241/,2026-06-01T04:42:57.066Z,29241,Euro-MED0200865,BauNOW,Investing in Green and Just Transition for a New Sustainable Business as Usual Economy,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Geodetski inštitut Slovenije,Slovenia,12,Urban development | Institutional cooperation and cooperation networks | Knowledge and technology transfer,"Urban and urban-rural areas in the MED region are under threat due to negative impacts of climate change and unsustainable development practices. This calls for a change from an old to a new economy with new consumer, business and financing models that will lead towards resource...","BauNOW project organisations cooperating across borders(EN)

Green and Just Transition Dashboard(EN)

BauNOW Transferability Plan (EN) || - Report on project pilot areas’ readiness for Green and Just Transition

- Metho..."
keep.eu,https://keep.eu/projects/29240/,2026-06-01T04:42:57.066Z,29240,Euro-MED0200522,MED COLOURS,MEDiterranean COllaborative LOgistics for the URban Space,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Fondazione Istituto sui Trasporti e la Logistica,Italy,12,Logistics and freight transport | Climate change and biodiversity,"Climate change is the foremost worldwide challenge. Some of the most pressing factors include congestion, which costs the European economy €100 billion per year- 1% of its GDP, air pollution, affecting people’s health, and transport emissions (freight counts 25% of total urban t...","MED COLOURS jointly developed methodology for continuous cross-monitoring of SULPs fostering more effective implementation of policies and climate-resilient living areas(EN)

-(FR)

Jointly developed MED COLOURS Resilie..."
keep.eu,https://keep.eu/projects/29239/,2026-06-01T04:42:57.066Z,29239,Euro-MED0200635,GARDEN,Greener AgRo-fooD logistics in the mEditerraneaN area,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu,Croatia,10,Logistics and freight transport | Energy efficiency | Knowledge and technology transfer,"The project aims to make more ecological logistics for food supply and the management of bio-waste, packaging, and used containers in Mediterranean cities, in order to reduce their impact on citizens and the global climate system. To do this, 6 pilot demonstrators will be set up...","Organisations participating in the greening of agro-food logistics sector in the MED area(EN)

Organisations participating in the greening of agro-food logistics sector in the MED area(FR)

Pilot demonstration sites of..."
keep.eu,https://keep.eu/projects/29238/,2026-06-01T04:42:57.066Z,29238,Euro-MED0200323,URWAN,Urban Regenerative Water Avant-garde(N),2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Associazione Regionale Comuni del Lazio - ANCI Lazio,Italy,10,Green technologies | Urban development | Climate change and biodiversity,"Mediterranean areas face severe drought and water scarcity, becoming major issues and concrete societal challenges. Our living areas are highly vulnerable to the effect of climate change, experiencing more and more extreme events. At the same time, decision-makers plan investmen...","Catalogue for final users for harmonizing knowledge on NBS (problems/impact)(FR)

Catalogue for final users for harmonizing knowledge on NBS (problems/impact)(EN)

Pilot intervention in Cuba (PT) to increase the area's..."
keep.eu,https://keep.eu/projects/29237/,2026-06-01T04:42:57.066Z,29237,Euro-MED0200352,GREENMO,Promoting Green and Inclusive Mobility hubs for greener MED living areas by leveraging citizens' real needs,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,University of West Attica,Greece,6,Transport and mobility | Tourism,"One of the most crucial challenges in modern Mediterranean urban areas is to reduce traffic congestion and air pollution towards achieving better living environments which are now burdened, given the citizens’ commuting demand, and the increasing seasonal traffic flows. In this...","GREENMO long-term Strategy for MED Inclusive Mobility hubs(EN)

GREENMO long-term Strategy for MED Inclusive Mobility hubs(FR)

Organisations cooperating in GREENMO project (FR)

Organisations cooperating in GREENMO pro..."
keep.eu,https://keep.eu/projects/29236/,2026-06-01T04:42:57.066Z,29236,Euro-MED0200674,LOGREENER,Composing Local Green Energy Transition,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,Federación Valenciana de Municipios y Provincias,Spain,9,Green technologies | Energy efficiency | Knowledge and technology transfer,"The EuroMED Local Authorities (LAs) are increasingly engaged in the energy transition but in general they do not have adequate capacities to carry out proper assessment and planning processes when preparing their local sustainable energy transition strategies (particularly, the...","Jointly developed toolkit for local authorities to plan and deploy the sustainable energy transition based on the synthesis and upscaling of the PRISMI, COMPOSE and LOCAL4GREEN projects outputs.(FR)

Jointly developed t..."
keep.eu,https://keep.eu/projects/29235/,2026-06-01T04:42:57.066Z,29235,Euro-MED0200199,SPOWIND,Spatial Planning for Offshore Wind Industry Development,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,Politecnico di Torino,Italy,10,"Green technologies | Governance, partnership | Renewable energy","Offshore wind energy potential is paramount in the European energy industry to guarantee a more sustainable and secure energy production, as highlighted by the European Commission in the offshore renewable energy strategy COM/741(2020). The development of offshore wind farms in...","Methods for a comparative assessment of energy transfer solutions(EN)

Methods for a comparative assessment of energy transfer solutions(FR)

Partners and associated partners engagement (EN)

4 helix engagement(FR)

Web..."
keep.eu,https://keep.eu/projects/29234/,2026-06-01T04:42:57.066Z,29234,Euro-MED0200836,NUDGES,Novel Support tools to Mediterranean Governments Exploiting Behavioural Incentives,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,ΑΝΑΠΤΥΞΙΑΚΗ ΕΤΑΙΡΕΙΑ ΛΑΡΝΑΚΑΣ - ΑΜΜΟΧΩΣΤΟΥ,Cyprus,10,Innovation capacity and awareness-raising | Urban development | Knowledge and technology transfer,"NUDGES - or more precisely, ""climate nudges"" - are defined as intentional modifications of the people's choice architectures that aim to alter citizen behaviours towards climate-friendly actions while maintaining their earlier alternatives.
The NUDGES Study proposal aims at demo...","Potential members of the soon to be established NUDGES community of interest(EN)

Membres potentiels de la prochaine communauté d'intérêt NUDGES(FR)

NUDGES blueprints(EN)

Plans bleus de NUDGES(FR)

NUDGES Action Resea..."
keep.eu,https://keep.eu/projects/29233/,2026-06-01T04:42:57.066Z,29233,Euro-MED0200699,eWAsTER,Preventing e-waste from polluting MED water by turning waste into a resource.,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Parque do Alentejo de Ciência e Tecnologia,Portugal,11,"Governance, partnership | Waste and pollution | Knowledge and technology transfer","THE PROBLEM
Growing consumption is generating changes in the composition of waste, including 'new' waste streams such as electronic. According to the EC e-waste monitoring 2020, e-waste is growing three times faster than the average waste stream.

In 2019, EC Decision 2019/2193...","Organisations cooperating across borders in the design of the MED Methodolgy, the online tools, the LAPs and the involvement of key actors. (EN)

Organisations cooperating across borders in the design of the MED Methodo..."
keep.eu,https://keep.eu/projects/29232/,2026-06-01T04:42:57.066Z,29232,Euro-MED0200514,2B-BLUE,Boosting the Blue Biotechnology community in the Mediterranean,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Universidad De Murcia,Spain,11,Green technologies | SME and entrepreneurship,"The Blue Biotechnology (BBt) sector can have a significant impact on the environment, human wellbeing and economic growth, however in the Mediterranean basin it is currently in its infancy. B-BLUE project has built a preliminary network of actors related to BBt and analyzed best...","Co-designing and fine-tuning of solutions for the acceleration of blue biotechnology transfer in target blue economy sectors of Mediterranean area(EN)

Co-designing and fine-tuning of solutions for the acceleration of b..."
keep.eu,https://keep.eu/projects/29231/,2026-06-01T04:42:57.066Z,29231,Euro-MED0200775,ProcuraMED,Innovative and Green Procurement towards sustainable economy in MED area,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Comune di Narni,Italy,10,"Green technologies | Institutional cooperation and cooperation networks | Governance, partnership","Every year, over 250 000 public authorities in the EU spend around 14% of GDP (around €2 trillion per year) on the purchase of services, works and supplies. In many sectors such as energy, transport, waste management, social protection and the provision of health or education se...","Strategic Procurement Unified Platform(FR)

Strategic Procurement Unified Platform(EN)

Euro-Mediterranean coalition for Innovative sustainable economy(EN)

Euro-Mediterranean coalition for Innovative sustainable econom..."
keep.eu,https://keep.eu/projects/29230/,2026-06-01T04:42:57.066Z,29230,Euro-MED0200720,COASTRUST,Promoting shared stewardship for Mediterranean Coasts,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,Greece,9,Sustainable management of natural resources | Climate change and biodiversity | Knowledge and technology transfer,"The Mediterranean basin is one of the most important hotspots of biodiversity in the world in terms of richness of species and ecosystems. However, human activities and overexploitation of natural resources are resulting in ecosystem degradation and species lost at an alarming r...","Mediterranean network for coastal stewardship promotion(EN)

COASTRUST local strategies for coastal stewardship(EN)

COASTRUST METHODOLOGY 2.0(EN) || - Description of territorial opportunities/assets and EU strategies t..."
keep.eu,https://keep.eu/projects/29229/,2026-06-01T04:42:57.066Z,29229,Euro-MED0200557,RuralMED Mobility,Adopting electric mobility in underserved rural and remote MED areas,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Consorcio Agencia Extremeña de la energía (AGENEX),Spain,15,Transport and mobility | Rural and peripheral development,"30% of the EU’s population live in rural areas, but rural areas account for 83% of the total EU area. In the long-term vision for the EU’s rural areas and the EU Rural Action Plan, one of the flagship initiatives is related to rural mobility and to overcoming the challenge of su...","Organizations cooperating in the RuralMED partnership with 8 different countries participating(EN)

Organizations cooperating in the RuralMED partnership with 8 different countries participating(FR)

Sustainable Mobilit..."
keep.eu,https://keep.eu/projects/29228/,2026-06-01T04:42:57.066Z,29228,Euro-MED0200410,MedDiet Go,Med Diet identities - from territorial networking to cluster organization,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de Sevilla",Spain,8,Tourism | SME and entrepreneurship | Climate change and biodiversity,"The Mediterranean is considered a climate change hotspot: the region is warming 20% faster than the global average with severe consequences in the environment, increased by an unbalanced use of territorial resources characterised by urban congestion and depopulation/desertificat...","One common updated and modernised strategy to foster Mediterranean Diet values in the Mediterranean, through digital tools and available resources(EN)

One common updated and modernised strategy to foster Mediterranean..."
keep.eu,https://keep.eu/projects/29227/,2026-06-01T04:42:57.066Z,29227,Euro-MED0200814,LocAll4Flood,"Flash flood risk prevention & resilience in Mediterranean area through an Integrated Multi-stakeholder Governance Model, gathering prevention, adaptation and mitigation solutions",2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Fundació Universitària Balmes,Spain,9,Cooperation between emergency services | Climate change and biodiversity | Knowledge and technology transfer,"Floods are the most frequent and damaging natural disaster. Flash floods are extensive events rapidly arising after intense rainfall, especially in areas with rapid hydrological responses. These natural events are a particular hazard in small catchments often representing most o...","Catalogue of prevention, mitigation and adaptation solutions to reduce flash flood impact in the 4 different topographical areas (Urban areas, industrial areas, natural/rural areas, coastal areas)(EN)

See EN version(FR..."
keep.eu,https://keep.eu/projects/29226/,2026-06-01T04:42:57.066Z,29226,Euro-MED0200736,MPA4Change,Enhancing Marine Protected Areas as Nature Based Solutions for adaptation to climate change: from local actions to Mediterranean basin strategy,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,Consejo Superior de Investigaciones Cientificas,Spain,10,Coastal management and maritime issues | Climate change and biodiversity,"The Mediterranean Sea is considered a hot spot for climate change. The impacts of climate change are interacting with other environmental changes caused by human activities (e.g. overfishing, habitat loss and pollution). As a result, Mediterranean marine ecosystems and human liv...","MPA4Change Transfer Programme (toolkits and online training)(EN)

MPA4Change Transfer Programme (toolkits and online training)(FR)

Guidelines for data sharing to databases of Data and Knowledge Platforms(EN)

Guideline..."
keep.eu,https://keep.eu/projects/29225/,2026-06-01T04:42:57.066Z,29225,Euro-MED0200570,OliveOilMedNet,Mediterranean Network for the Promotion of Sustainability & Authenticity in Olive Oil Sector,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Επιμελητήριο Πρέβεζας,Greece,11,Green technologies | Agriculture and fisheries and forestry,"Despite the fact that olive oil products are the most important agri-food products in the Med Area being the backbone of socio-economic and cultural life, serious difficulties had been encountered in exploiting the huge symbolic capital and integrating environmental friendly met...","The same as english(FR)

Jointly developed tools regarding authenticity certifications & environmental - friendly olive growing and olive oil production practices(EN)

The same as english(FR)

Organizations cooperating(..."
keep.eu,https://keep.eu/projects/29224/,2026-06-01T04:42:57.066Z,29224,Euro-MED0200331,COOL NOONS,COOL NOONS,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,Agence des Villes et terriroires mediterraneéns durables,France,9,Urban development | Tourism | Climate change and biodiversity,"Summer 2022: Lisbon 43°, Athens 45°, Syracuse 48°....
All the experts agree. Summer 2022 has given us a foretaste of what the future climate will be like in the Mediterranean, a climate in which extremes will become more pronounced and heat waves will continue to multiply. Under...","Organisations with increased institutional capacity due to their participation in cooperation activities across borders(EN)

Organisations with increased institutional capacity due to their participation in cooperation..."
keep.eu,https://keep.eu/projects/29223/,2026-06-01T04:42:57.066Z,29223,Euro-MED0200584,MED-GIAHS,Mediterranean GIAHS sites network to promote sustainable agricultural tourism,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,closed,2024-01-01,2026-03-31,"Consejería de Agricultura, Pesca, Agua y Desarrollo Rural de la Junta de Andalucía",Spain,9,Tourism | Rural and peripheral development | Agriculture and fisheries and forestry,"The Globally Important Agricultural Heritage Systems (GIAHS) are agroecosystems inhabited by communities that live in intricate relationships with their territory. These evolving sites are resilient systems characterised by remarkable agrobiodiversity, traditional knowledge, inv...","Strategy for sustainable agricultural tourism in MED GIAHS sites(EN)

Strategy for sustainable agricultural tourism in MED GIAHS sites(FR)

MED-GIAHS Network(FR)

MED-GIAHS Network(EN)

MED-GIAHS Network partnership coo..."
keep.eu,https://keep.eu/projects/29222/,2026-06-01T04:42:57.066Z,29222,Euro-MED0200256,REVIVE,Developing community based innovative business models for the revival of the internal areas in the Mediterranean,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2024-01-01,2026-09-30,ΑΝΑΠΤΥΞΙΑΚΗ ΕΤΑΙΡΕΙΑ ΛΑΡΝΑΚΑΣ - ΑΜΜΟΧΩΣΤΟΥ,Cyprus,10,Demographic change and immigration | Institutional cooperation and cooperation networks | Rural and peripheral development,"In the last decades, the internal territories of the Mediterranean have been affected by steady depopulation processes that have led people to move to urban and coastal areas with a higher concentration of economic activities. Low economic dynamism, scarce public services, lack...","REVIVE Framework for pilot testing (EN)

REVIVE Framework for pilot testing (FR)

Community based innovative business models established and functioning (EN)

Community based innovative business models established and f..."
